epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,11955.1,0.39856,0.34264,1.04103,0.97241,0.95796,0.97809,0.89583,inf,0.29382,0.74698,0.0043075,0.0043075,0.0043075
117,12057.2,0.40203,0.33396,1.04727,0.97525,0.96064,0.97792,0.89185,0.39042,0.30821,0.75892,0.004258,0.004258,0.004258
118,12159.8,0.40405,0.33798,1.04496,0.97925,0.95524,0.97881,0.88631,0.39117,0.31948,0.77017,0.0042085,0.0042085,0.0042085
119,12262.8,0.40673,0.33548,1.04442,0.98075,0.95335,0.97988,0.88746,0.39116,0.32594,0.77664,0.004159,0.004159,0.004159
120,12365.1,0.39777,0.32747,1.0398,0.95258,0.95949,0.97887,0.8791,0.38359,0.33098,0.77697,0.0041095,0.0041095,0.0041095
121,12467.4,0.4022,0.33161,1.04351,0.95784,0.96014,0.97543,0.87438,0.38961,0.3293,0.77655,0.00406,0.00406,0.00406
122,12571,0.39539,0.32432,1.03799,0.97195,0.96399,0.97894,0.89376,0.38964,0.32183,0.77183,0.0040105,0.0040105,0.0040105
123,12674.3,0.39305,0.32535,1.03355,0.97781,0.96343,0.98038,0.90532,0.38659,0.30629,0.76078,0.003961,0.003961,0.003961
124,12777.7,0.39355,0.3468,1.03399,0.97563,0.96769,0.98078,0.90913,0.38184,0.28781,0.75211,0.0039115,0.0039115,0.0039115
125,12882.5,0.39895,0.33684,1.04191,0.97788,0.96732,0.98061,0.91093,0.37967,0.28078,0.74835,0.003862,0.003862,0.003862
126,12987.4,0.3859,0.314,1.0349,0.97459,0.96855,0.98113,0.9101,0.38037,0.28463,0.74834,0.0038125,0.0038125,0.0038125
127,13089.6,0.39027,0.31054,1.03359,0.97599,0.96896,0.98113,0.91033,0.37865,0.28977,0.74463,0.003763,0.003763,0.003763
128,13191.8,0.38473,0.3119,1.03162,0.97577,0.96717,0.9811,0.91126,0.37532,0.29526,0.74122,0.0037135,0.0037135,0.0037135
129,13295.5,0.39062,0.31339,1.03185,0.97028,0.96983,0.98149,0.91188,0.37116,0.29062,0.73567,0.003664,0.003664,0.003664
130,13399.2,0.38358,0.32278,1.03242,0.97295,0.96892,0.98178,0.9129,0.37036,0.27921,0.73509,0.0036145,0.0036145,0.0036145
131,13501.3,0.38809,0.31428,1.03261,0.96996,0.97255,0.98198,0.9129,0.37048,0.2752,0.73351,0.003565,0.003565,0.003565
132,13604.5,0.38765,0.31424,1.03485,0.97125,0.96935,0.98159,0.91147,0.37128,0.28214,0.7333,0.0035155,0.0035155,0.0035155
133,13708.7,0.38203,0.30622,1.02934,0.97176,0.97086,0.982,0.91043,0.37393,0.29086,0.7338,0.003466,0.003466,0.003466
134,13810.9,0.38038,0.31767,1.03068,0.97245,0.97279,0.9818,0.9113,0.37454,0.29118,0.73348,0.0034165,0.0034165,0.0034165
135,13913.6,0.37773,0.30664,1.02963,0.97508,0.9712,0.98187,0.91328,0.37868,0.2912,0.73607,0.003367,0.003367,0.003367
136,14017,0.37704,0.30392,1.02574,0.97608,0.97058,0.9812,0.91298,0.38057,0.29196,0.73729,0.0033175,0.0033175,0.0033175
137,14120,0.36519,0.29829,1.02052,0.97563,0.97077,0.98144,0.91274,0.37897,0.28979,0.73645,0.003268,0.003268,0.003268
138,14221.4,0.37255,0.29308,1.02273,0.97207,0.97143,0.98212,0.91335,0.37859,0.28923,0.73481,0.0032185,0.0032185,0.0032185
139,14325.1,0.36814,0.30725,1.02638,0.98135,0.96468,0.98161,0.91415,0.37866,0.2883,0.73609,0.003169,0.003169,0.003169
140,14428.4,0.36636,0.29935,1.02253,0.98075,0.96414,0.98147,0.91573,0.37846,0.28783,0.73748,0.0031195,0.0031195,0.0031195
141,14531.3,0.3683,0.29395,1.02189,0.97784,0.96583,0.98123,0.9152,0.37914,0.28848,0.73955,0.00307,0.00307,0.00307
142,14634.2,0.36295,0.28678,1.02136,0.97795,0.96564,0.98139,0.91538,0.38087,0.293,0.74191,0.0030205,0.0030205,0.0030205
143,14737.7,0.36553,0.29252,1.01602,0.97498,0.9696,0.98142,0.91563,0.38045,0.29527,0.74105,0.002971,0.002971,0.002971
144,14840,0.36117,0.29481,1.01596,0.97614,0.9703,0.9813,0.91581,0.38092,0.29733,0.74098,0.0029215,0.0029215,0.0029215
145,14942.7,0.35669,0.31495,1.01376,0.97992,0.96789,0.98049,0.91482,0.38156,0.30143,0.74075,0.002872,0.002872,0.002872
146,15047.5,0.35745,0.31175,1.01289,0.98019,0.96837,0.98074,0.91453,0.38266,0.30406,0.73983,0.0028225,0.0028225,0.0028225
147,15155.9,0.35386,0.28445,1.01169,0.98161,0.9675,0.9816,0.91444,0.38362,0.3064,0.73998,0.002773,0.002773,0.002773
148,15262.7,0.35665,0.28826,1.00969,0.98235,0.96881,0.98234,0.91492,0.38312,0.30488,0.73695,0.0027235,0.0027235,0.0027235
149,15369.6,0.3538,0.28484,1.00999,0.98242,0.96814,0.98255,0.9151,0.38266,0.30222,0.73442,0.002674,0.002674,0.002674
150,15475.9,0.35544,0.28783,1.01029,0.98226,0.9679,0.98257,0.91572,0.38211,0.30097,0.73212,0.0026245,0.0026245,0.0026245
151,15583,0.35246,0.27423,1.00812,0.98061,0.96812,0.98259,0.91549,0.3813,0.29967,0.73045,0.002575,0.002575,0.002575
152,15689.9,0.3518,0.27694,1.00711,0.98133,0.96723,0.98239,0.91551,0.3808,0.29864,0.72933,0.0025255,0.0025255,0.0025255
153,15797.4,0.34012,0.27465,1.00823,0.98205,0.96741,0.98145,0.91495,0.37995,0.29729,0.72791,0.002476,0.002476,0.002476
154,15903.5,0.34603,0.27307,1.00803,0.982,0.96506,0.98131,0.91473,0.37966,0.29641,0.72698,0.0024265,0.0024265,0.0024265
155,16013,0.34227,0.27352,1.00806,0.97371,0.97146,0.98138,0.91538,0.37913,0.29623,0.72553,0.002377,0.002377,0.002377
156,16120.8,inf,0.27486,1.00525,0.9732,0.97112,0.9813,0.9152,0.37854,0.29634,0.72476,0.0023275,0.0023275,0.0023275
157,16231.6,0.33674,0.26454,1.00253,0.97395,0.97032,0.98114,0.91567,0.37745,0.29464,0.72377,0.002278,0.002278,0.002278
158,16343.8,0.34045,0.27068,1.00493,0.97666,0.96699,0.98029,0.91522,0.37705,0.29498,0.72264,0.0022285,0.0022285,0.0022285
159,16456.5,0.33937,0.26469,0.99908,0.97586,0.96744,0.98029,0.91511,0.37708,0.29549,0.72207,0.002179,0.002179,0.002179
160,16566.5,0.33248,0.26167,1.00189,0.97955,0.96605,0.98032,0.91507,0.37675,0.29646,0.72072,0.0021295,0.0021295,0.0021295
161,16677.5,0.33499,0.26407,1.00329,0.9774,0.96742,0.98035,0.91583,0.37596,0.29629,0.71954,0.00208,0.00208,0.00208
162,16784.2,0.33527,0.26087,1.00079,0.97808,0.96734,0.98034,0.91634,0.37543,0.29586,0.71861,0.0020305,0.0020305,0.0020305
163,16892.4,0.32247,0.26335,0.99611,0.97862,0.9676,0.98035,0.91668,0.37441,0.29501,0.7175,0.001981,0.001981,0.001981
164,16998.1,0.32715,0.25596,0.99821,0.97934,0.96875,0.98043,0.91672,0.374,0.29598,0.71662,0.0019315,0.0019315,0.0019315
165,17103.7,0.32986,0.2526,0.99819,0.97849,0.96978,0.98061,0.91649,0.37381,0.29703,0.71589,0.001882,0.001882,0.001882
166,17210.5,0.3252,0.25369,0.99612,0.97866,0.96976,0.98071,0.91639,0.3737,0.29906,0.71537,0.0018325,0.0018325,0.0018325
167,17315.9,0.31865,0.25381,0.99124,0.97853,0.96995,0.98068,0.91629,0.37343,0.29892,0.71434,0.001783,0.001783,0.001783
168,17426,0.32567,0.2551,0.9972,0.97936,0.96994,0.98071,0.91657,0.37328,0.29863,0.71428,0.0017335,0.0017335,0.0017335
169,17531.7,0.32561,0.31202,0.9922,0.97969,0.96889,0.98075,0.9164,0.37307,0.29742,0.71457,0.001684,0.001684,0.001684
170,17637.9,0.31956,0.24741,0.99673,0.98005,0.96853,0.98087,0.91643,0.37258,0.29717,0.71388,0.0016345,0.0016345,0.0016345
171,17750.8,0.31815,0.2507,0.99248,0.98051,0.96828,0.98087,0.91714,0.37216,0.29677,0.71315,0.001585,0.001585,0.001585
172,17884.2,0.31342,0.24497,0.9906,0.98118,0.96903,0.98125,0.91711,0.37163,0.29645,0.71209,0.0015355,0.0015355,0.0015355
173,18003.6,0.31718,0.24714,0.99475,0.98014,0.96922,0.98135,0.9179,0.37136,0.29621,0.71109,0.001486,0.001486,0.001486
174,18121.7,0.30649,0.2431,0.98511,0.98021,0.96941,0.98142,0.91784,0.37086,0.29653,0.70985,0.0014365,0.0014365,0.0014365
175,18239.9,0.31106,0.24211,0.98743,0.98029,0.97076,0.98157,0.9179,0.37049,0.29694,0.70952,0.001387,0.001387,0.001387
176,18361.8,0.30767,0.23501,0.98849,0.98063,0.97077,0.98166,0.91765,0.37045,0.29715,0.70966,0.0013375,0.0013375,0.0013375
177,18479.4,0.31038,0.25702,0.99211,0.98106,0.97052,0.9817,0.91749,0.37032,0.29724,0.70986,0.001288,0.001288,0.001288
178,18596.4,0.30422,0.23465,0.98603,0.98125,0.9708,0.98177,0.91768,0.36994,0.29792,0.70936,0.0012385,0.0012385,0.0012385
179,18715.8,0.30469,0.23591,0.9863,0.98156,0.96934,0.9818,0.91828,0.36975,0.29762,0.70909,0.001189,0.001189,0.001189
180,18833.1,0.30177,0.23409,0.98345,0.98122,0.96986,0.98178,0.91821,0.3694,0.29761,0.70818,0.0011395,0.0011395,0.0011395
181,18951.9,0.29856,0.23514,0.98457,0.98118,0.97022,0.9818,0.91834,0.36947,0.29804,0.70696,0.00109,0.00109,0.00109
182,19068,0.30305,0.2554,0.98207,0.98113,0.97022,0.98176,0.91865,0.36919,0.2977,0.70538,0.0010405,0.0010405,0.0010405
183,19180.6,0.29622,0.2319,0.9843,0.98007,0.96958,0.98168,0.918,0.3691,0.29851,0.70436,0.000991,0.000991,0.000991
